QID,Question,OptionA,OptionB,OptionC,OptionD,Answer,Marks
Q0001,What is the full form of RERA?,Real Estate Registration Authority,Real Estate Regulation Act,Real Estate (Regulation and Development) Act,Real Estate Regulatory Association,C,2
Q0002,The main objective of RERA is to:,Increase property prices,Protect the interests of homebuyers and promote transparency,Reduce stamp duty,Increase brokerage commissions,B,2
Q0003,All provisions of the RERA Act came into force on:,1 May 2016,1 May 2017,26 January 2016,15 August 2016,B,2
Q0004,Which of the following is NOT one of the major stakeholders under RERA?,Promoter,Real Estate Agent,Allottee,Income Tax Department,D,2
Q0005,The RERA Act was enacted to bring:,Monopoly in the real estate sector,"Transparency, accountability, and efficiency",Higher GST rates,Free land registration,B,2
Q0006,RERA is applicable to:,Only commercial projects,Only government projects,Real estate projects covered under the Act and applicable rules,Agricultural land only,C,2
Q0007,Which authority regulates real estate projects in Maharashtra?,SEBI,MahaRERA,RBI,Municipal Corporation,B,2
Q0008,The primary aim of RERA is to protect the interests of:,Banks only,Builders only,Homebuyers (Allottees),Architects only,C,2
Q0009,RERA promotes which of the following?,Transparency,Accountability,Standardized business practices,All of the above,D,2
Q0010,"How many chapters and sections are there in the RERA Act, 2016?",8 Chapters and 61 Sections,10 Chapters and 92 Sections,12 Chapters and 100 Sections,9 Chapters and 75 Sections,B,2
Q0011,RERA was enacted primarily to:,Increase the number of builders,Protect the interests of consumers in the real estate sector,Increase GST collection,Promote private banks,B,2
Q0012,Which sector is regulated under RERA?,Automobile,Banking,Real Estate,Insurance,C,2
Q0013,The RERA Act is applicable throughout:,Maharashtra only,Delhi only,India (except where specifically not applicable under law),Metro cities only,C,2
Q0014,The main objective of RERA is:,Increase land prices,Reduce transparency,Promote transparency and accountability,Increase registration charges,C,2
Q0015,Which stakeholder purchases a unit in a project?,Promoter,Engineer,Allottee,Architect,C,2
Q0016,"Under RERA, a real estate agent acts as:",Contractor,Mediator between promoter and buyer,Bank,Valuer,B,2
Q0017,Which of the following is NOT a stakeholder under RERA?,Promoter,Allottee,Real Estate Agent,Passport Office,D,2
Q0018,Transparency in real estate means:,Hiding project details,Providing accurate project information,Avoiding documentation,Delaying approvals,B,2
Q0019,Consumer confidence increases because of:,False promises,Proper disclosures,Hidden charges,Oral agreements only,B,2
Q0020,Which authority regulates real estate projects in Maharashtra?,RBI,SEBI,MahaRERA,NITI Aayog,C,2
Q0021,A promoter must:,Register applicable projects under RERA,Avoid approvals,Hide project details,Skip documentation,A,2
